doc_id,mineru_version,ocr_mode,tier,source_file,output_markdown,page_count_rendered,block_count,char_count,started_at,finished_at,warnings
doc_01,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/01_英文论文_微观结构与方法/01_日内动量独立复现与统计审计(Beat the Market Revisited).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_01.md,23,279,65246,2026-09-24T05:42:13.053435+00:00,2026-09-24T05:48:13.785064+00:00,[]
doc_02,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/01_英文论文_微观结构与方法/02_0DTE期权与尾部保护价格(修订稿2026-09).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_02.md,51,251,100777,2026-09-24T05:48:13.786754+00:00,2026-09-24T05:52:21.067847+00:00,[]
doc_03,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/01_英文论文_微观结构与方法/03_分数阶导数识别市场效率状态与粗糙波动(GL).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_03.md,36,526,155353,2026-09-24T05:42:13.101725+00:00,2026-09-24T05:48:12.645287+00:00,[]
doc_04,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/01_英文论文_微观结构与方法/04_预测悖论_ML加密货币实盘失败(The Prediction Paradox).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_04.md,11,125,32209,2026-09-24T05:52:59.445515+00:00,2026-09-24T05:54:43.137714+00:00,[]
doc_05,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/01_英文论文_微观结构与方法/05_股票因子分散的层次聚类(JPMorgan HRP).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_05.md,57,537,98945,2026-09-24T05:54:43.141262+00:00,2026-09-24T05:56:22.440172+00:00,[]
doc_06,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/02_中文_日内量价与选股/06_日内资金流策略标准化与信号化(指增中性七).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_06.md,11,133,11444,2026-09-24T02:27:49.913479+00:00,2026-09-24T02:28:04.840968+00:00,[]
doc_07,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/02_中文_日内量价与选股/07_量价事件驱动信号在绝对收益策略(量价淘金十八).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_07.md,21,305,25535,2026-09-24T02:28:04.841584+00:00,2026-09-24T02:28:34.013084+00:00,[]
doc_08,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/02_中文_日内量价与选股/08_量价指纹模型迭代_行为选股与条件风格(ML选股二).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_08.md,39,513,53984,2026-09-24T05:56:22.449132+00:00,2026-09-24T05:58:26.870222+00:00,[]
doc_09,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/02_中文_日内量价与选股/09_筹码分布因子系统构建【表格为图片_识别困难】.pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_09.md,38,499,64769,2026-09-24T05:48:12.650095+00:00,2026-09-24T05:51:50.326841+00:00,[]
doc_10,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/02_中文_日内量价与选股/10_噪声Alpha环境下信号筛选与分散化(学海拾珠282).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_10.md,18,255,40155,2026-09-24T05:58:26.873557+00:00,2026-09-24T05:59:38.804445+00:00,[]
doc_11,4.0.7,auto,basic,/Users/xiehaotong/Desktop/literature_pipeline/00_raw/期货日内因子_精选文献15篇/03_中文_期权与可转债/11_期权高频_凸性套利机会解析(高频系列四).pdf,/Users/xiehaotong/Desktop/literature_pipeline/01_parsed/doc_11.md,17,190,21296,2026-09-24T05:59:38.805619+00:00,2026-09-24T06:00:27.286775+00:00,[]
